Preguntas,Respuestas,Palabras clave
¿Cuáles son las percepciones que se consideran gravables?,"Las percepciones gravables incluyen conceptos como el sobre sueldo, bonos de excelencia docente, y otros estímulos económicos que están sujetos a impuestos. Por ejemplo, el 'SOBRE SUELDO 92' y 'SOBRE SUELDO 97' son gravables.","percepciones gravables, sobre sueldo, bonos de excelencia docente, estímulos económicos, impuestos, SOBRE SUELDO 92, SOBRE SUELDO 97"
¿Qué tipos de bonos se ofrecen en el catálogo?,"Se ofrecen varios tipos de bonos, incluyendo el 'BONO DE PRODUCTIVIDAD', 'BONO EXCELENCIA DOCENTE', 'BONO NAVIDEÑO', y 'BONO DE PUNTUALIDAD Y ASISTENCIA'.","bonos, catálogo, BONO DE PRODUCTIVIDAD, BONO EXCELENCIA DOCENTE, BONO NAVIDEÑO, BONO DE PUNTUALIDAD Y ASISTENCIA"
¿Cómo se calcula la devolución del fondo de pensión?,"La devolución del fondo de pensión se calcula como un porcentaje del monto acumulado en el fondo, que se detalla en el catálogo como ""DEVOLUCION FONDO DE PENSION 1.50%""","devolución fondo de pensión, porcentaje, monto acumulado, DEVOLUCION FONDO DE PENSION 1.50%"
¿Qué es el aguinaldo proporcional y cómo se determina?,"El aguinaldo proporcional es una parte del aguinaldo total que se calcula en función del tiempo trabajado durante el año. Se menciona en el catálogo como ""PROPORCIONAL AGUINALDO""","aguinaldo proporcional, aguinaldo total, tiempo trabajado, PROPORCIONAL AGUINALDO"
¿Qué tipo de ayudas económicas se ofrecen para el inicio del ciclo escolar?,Se ofrece una 'AYUDA ECON INICIO CICLO ESCOLAR' que proporciona apoyo financiero a los empleados para cubrir gastos relacionados con el inicio del ciclo escolar .,"ayudas económicas, inicio ciclo escolar, AYUDA ECON INICIO CICLO ESCOLAR, apoyo financiero, gastos"
¿Qué es el 'RECONOCIMIENTO A LA ANTIGUEDAD'?,"El 'RECONOCIMIENTO A LA ANTIGUEDAD' es una percepción que se otorga a los empleados en función de los años de servicio en la institución, y está sujeta a impuestos.","reconocimiento a la antigüedad, años de servicio, impuestos"
¿Existen percepciones no gravables en el catálogo?,"Sí, hay percepciones que no son gravables, como 'AYUDA PARA DESPENSA FAMILIAR' y 'SUBSIDIO AL EMPLEO', que no están sujetas a impuestos.","percepciones no gravables, AYUDA PARA DESPENSA FAMILIAR, SUBSIDIO AL EMPLEO, no sujetas a impuestos"
¿Qué es el 'Bono de Permanencia'?,"El 'BONO DE PERMANENCIA' es un incentivo económico que se otorga a los empleados que permanecen en la institución durante un período determinado, y está diseñado para fomentar la retención de personal.","BONO DE PERMANENCIA, incentivo económico, retención de personal"
¿Cómo se manejan los pagos por no disfrutar de vacaciones?,Los pagos por no disfrutar de vacaciones se registran como 'PAGO VACACIONES NO DISFRUTADAS' y son una compensación económica que se otorga a los empleados que no han tomado sus días de vacaciones.,"PAGO VACACIONES NO DISFRUTADAS, compensación económica, vacaciones no tomadas"
¿Qué tipo de estímulos se ofrecen por asistencia y comportamiento?,"Se ofrecen estímulos económicos por asistencia y comportamiento, como 'ESTIMULO ECONOMICO, CEREMONIA ESPECIAL' y 'ESTIM. COMPORT. ASIST. CUAT', que premian a los empleados por su puntualidad y asistencia.","estímulos económicos, asistencia, comportamiento, ESTIMULO ECONOMICO, CEREMONIA ESPECIAL, ESTIM. COMPORT. ASIST. CUAT"
¿Qué es la 'CUOTA FIJA'?,"La 'CUOTA FIJA' es un monto establecido que se descuenta de la nómina de los empleados, en este caso, es de 5.00.","CUOTA FIJA, monto establecido, descuento, nómina"
